MATCH_EVENT_ID,TEAM_NAME,GAME_SEASON,DATE_OF_GAME,IS_KNOCKOUT_MATCH,HOME_OR_AWAY,LAT_LONG,LOCATION_X,LOCATION_Y,SHOT_DISTANCE,AREA_OF_SHOT,RANGE_OF_SHOT,SHOT_TYPE,SHOT_POWER,SHOT_BASICS,REMAINING_MINUTES,REMAINING_SECONDS,TOTAL_SECONDS_REMAINING,IS_GOAL
12.0,Manchester United,2000-01,2000-10-31,0,MANU @ POR,"45.539131, -122.651648",-157.0,0.0,35,Left Side(L),8-16 ft.,shot - 45,1,Mid Range,10,22,622,0
35.0,Manchester United,2000-01,2000-10-31,0,Unknown,"45.539131, -122.651648",-101.0,135.0,36,Left Side Center(LC),16-24 ft.,shot - 25,1,Mid Range,7,45,465,1
43.0,Manchester United,2000-01,2000-10-31,0,MANU @ POR,"45.539131, -122.651648",138.0,175.0,42,Right Side Center(RC),16-24 ft.,shot - 3,1,Mid Range,6,52,412,0
309.0,Manchester United,2000-01,2000-10-31,0,Unknown,"45.539131, -122.651648",-94.0,238.0,45,Left Side Center(LC),24+ ft.,shot - 7,3,Penalty Spot,1,56,116,0
4.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",121.0,127.0,37,Right Side Center(RC),16-24 ft.,shot - 3,1,Mid Range,11,0,660,1
80.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",-23.0,47.0,25,Center(C),Less Than 8 ft.,shot - 12,1,Goal Line,1,16,76,0
138.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",-117.0,226.0,45,Left Side Center(LC),Unknown,shot - 6,2,Unknown,8,50,530,1
255.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",3.0,144.0,34,Center(C),8-16 ft.,shot - 20,3,Mid Range,10,8,608,0
274.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",-16.0,110.0,31,Center(C),8-16 ft.,shot - 44,3,Goal Line,7,57,477,1
307.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",-46.0,63.0,27,Center(C),Less Than 8 ft.,shot - 3,3,Goal Line,5,11,311,1
332.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,3,Goal Area,2,36,156,0
369.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",-183.0,186.0,46,Left Side Center(LC),24+ ft.,shot - 54,3,Penalty Spot,0,30,30,0
429.0,Manchester United,2000-01,2000-11-01,0,MANU vs. UTA,"42.982923, -71.446094",3.0,87.0,28,Center(C),8-16 ft.,shot - 42,4,Goal Line,6,22,382,0
184.0,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",91.0,184.0,40,Right Side Center(RC),16-24 ft.,shot - 3,2,Mid Range,3,30,210,1
202.0,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",-27.0,272.0,47,Center(C),24+ ft.,shot - 3,2,Penalty Spot,0,4,4,1
212.0,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",-176.0,66.0,38,Left Side(L),16-24 ft.,shot - 3,3,Mid Range,11,12,672,0
229.0,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",150.0,133.0,40,Right Side Center(RC),16-24 ft.,shot - 3,3,Mid Range,8,59,539,1
289.0,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",-4.0,4.0,20,Center(C),Less Than 8 ft.,shot - 39,3,Goal Area,3,21,201,1
398.0,Manchester United,2000-01,2000-11-04,0,Unknown,"49.250068, -123.114646",121.0,120.0,37,Right Side Center(RC),16-24 ft.,shot - 3,4,Unknown,4,55,295,1
,Manchester United,2000-01,2000-11-04,0,MANU @ VAN,"49.250068, -123.114646",-12.0,9.0,21,Center(C),Less Than 8 ft.,shot - 39,4,Goal Area,1,6,66,0
7.0,Manchester United,2000-01,2000-11-05,0,MANU vs. LAC,"42.982923, -71.446094",24.0,70.0,27,Center(C),Less Than 8 ft.,shot - 25,1,Goal Line,10,33,633,0
80.0,Manchester United,2000-01,2000-11-05,0,MANU vs. LAC,"42.982923, -71.446094",-155.0,194.0,44,Left Side Center(LC),24+ ft.,shot - 3,1,Penalty Spot,2,33,153,0
190.0,Manchester United,2000-01,2000-11-05,0,MANU vs. LAC,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,2,Goal Area,4,5,245,1
28.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",231.0,57.0,43,Right Side(R),24+ ft.,shot - 21,1,Right Corner,8,17,497,0
